Day,State,Weather
0,1,Ясно
1,3,Пасмурно
2,3,Пасмурно
3,3,Пасмурно
4,3,Пасмурно
5,3,Пасмурно
6,1,Ясно
7,2,Облачно
8,2,Облачно
9,2,Облачно
10,2,Облачно
11,3,Пасмурно
12,3,Пасмурно
13,2,Облачно
14,2,Облачно
15,2,Облачно
16,2,Облачно
17,2,Облачно
18,2,Облачно
19,2,Облачно
20,2,Облачно
21,2,Облачно
22,2,Облачно
23,2,Облачно
24,3,Пасмурно
25,3,Пасмурно
26,3,Пасмурно
27,3,Пасмурно
28,3,Пасмурно
29,3,Пасмурно
30,3,Пасмурно
31,3,Пасмурно
32,2,Облачно
33,2,Облачно
34,2,Облачно
35,2,Облачно
36,1,Ясно
37,1,Ясно
38,1,Ясно
39,2,Облачно
40,2,Облачно
41,3,Пасмурно
42,3,Пасмурно
43,1,Ясно
44,1,Ясно
45,2,Облачно
46,2,Облачно
47,2,Облачно
48,2,Облачно
49,2,Облачно
50,2,Облачно
51,2,Облачно
52,2,Облачно
53,2,Облачно
54,2,Облачно
55,2,Облачно
56,3,Пасмурно
57,3,Пасмурно
58,3,Пасмурно
59,3,Пасмурно
60,1,Ясно
61,1,Ясно
62,2,Облачно
63,4,Дождь
64,1,Ясно
65,2,Облачно
66,2,Облачно
67,2,Облачно
68,2,Облачно
69,3,Пасмурно
70,2,Облачно
71,3,Пасмурно
72,2,Облачно
73,2,Облачно
74,2,Облачно
75,2,Облачно
76,2,Облачно
77,2,Облачно
78,2,Облачно
79,2,Облачно
80,2,Облачно
81,1,Ясно
82,1,Ясно
83,1,Ясно
84,1,Ясно
85,1,Ясно
86,1,Ясно
87,3,Пасмурно
88,3,Пасмурно
89,4,Дождь
90,4,Дождь
91,4,Дождь
92,3,Пасмурно
93,3,Пасмурно
94,4,Дождь
95,2,Облачно
96,2,Облачно
97,3,Пасмурно
98,3,Пасмурно
99,3,Пасмурно
100,2,Облачно
101,2,Облачно
102,3,Пасмурно
103,3,Пасмурно
104,2,Облачно
105,2,Облачно
106,2,Облачно
107,2,Облачно
108,3,Пасмурно
109,3,Пасмурно
110,3,Пасмурно
111,2,Облачно
112,2,Облачно
113,4,Дождь
114,4,Дождь
115,3,Пасмурно
116,1,Ясно
117,1,Ясно
118,1,Ясно
119,1,Ясно
120,1,Ясно
121,2,Облачно
122,1,Ясно
123,1,Ясно
124,4,Дождь
125,4,Дождь
126,4,Дождь
127,3,Пасмурно
128,3,Пасмурно
129,2,Облачно
130,3,Пасмурно
131,3,Пасмурно
132,3,Пасмурно
133,2,Облачно
134,2,Облачно
135,2,Облачно
136,2,Облачно
137,2,Облачно
138,2,Облачно
139,2,Облачно
140,2,Облачно
141,2,Облачно
142,2,Облачно
143,2,Облачно
144,2,Облачно
145,1,Ясно
146,1,Ясно
147,1,Ясно
148,1,Ясно
149,1,Ясно
150,1,Ясно
151,1,Ясно
152,1,Ясно
153,1,Ясно
154,2,Облачно
155,2,Облачно
156,2,Облачно
157,2,Облачно
158,2,Облачно
159,1,Ясно
160,1,Ясно
161,3,Пасмурно
162,3,Пасмурно
163,3,Пасмурно
164,1,Ясно
165,1,Ясно
166,1,Ясно
167,1,Ясно
168,2,Облачно
169,2,Облачно
170,2,Облачно
171,2,Облачно
172,1,Ясно
173,1,Ясно
174,1,Ясно
175,2,Облачно
176,2,Облачно
177,3,Пасмурно
178,2,Облачно
179,3,Пасмурно
180,3,Пасмурно
181,3,Пасмурно
182,3,Пасмурно
183,3,Пасмурно
184,3,Пасмурно
185,2,Облачно
186,2,Облачно
187,2,Облачно
188,2,Облачно
189,2,Облачно
190,3,Пасмурно
191,3,Пасмурно
192,3,Пасмурно
193,3,Пасмурно
194,3,Пасмурно
195,3,Пасмурно
196,1,Ясно
197,1,Ясно
198,1,Ясно
199,1,Ясно
200,1,Ясно
201,2,Облачно
202,3,Пасмурно
203,3,Пасмурно
204,4,Дождь
205,4,Дождь
206,4,Дождь
207,3,Пасмурно
208,3,Пасмурно
209,3,Пасмурно
210,3,Пасмурно
211,3,Пасмурно
212,3,Пасмурно
213,3,Пасмурно
214,3,Пасмурно
215,3,Пасмурно
216,3,Пасмурно
217,4,Дождь
218,4,Дождь
219,4,Дождь
220,2,Облачно
221,2,Облачно
222,2,Облачно
223,3,Пасмурно
224,3,Пасмурно
225,3,Пасмурно
226,3,Пасмурно
227,2,Облачно
228,4,Дождь
229,1,Ясно
230,1,Ясно
231,1,Ясно
232,1,Ясно
233,1,Ясно
234,1,Ясно
235,1,Ясно
236,1,Ясно
237,1,Ясно
238,3,Пасмурно
239,4,Дождь
240,4,Дождь
241,4,Дождь
242,4,Дождь
243,4,Дождь
244,4,Дождь
245,4,Дождь
246,4,Дождь
247,4,Дождь
248,4,Дождь
249,2,Облачно
250,2,Облачно
251,2,Облачно
252,2,Облачно
253,3,Пасмурно
254,3,Пасмурно
255,3,Пасмурно
256,3,Пасмурно
257,3,Пасмурно
258,1,Ясно
259,1,Ясно
260,1,Ясно
261,1,Ясно
262,1,Ясно
263,1,Ясно
264,1,Ясно
265,3,Пасмурно
266,3,Пасмурно
267,3,Пасмурно
268,3,Пасмурно
269,2,Облачно
270,2,Облачно
271,2,Облачно
272,4,Дождь
273,4,Дождь
274,4,Дождь
275,4,Дождь
276,4,Дождь
277,4,Дождь
278,4,Дождь
279,4,Дождь
280,4,Дождь
281,4,Дождь
282,4,Дождь
283,4,Дождь
284,2,Облачно
285,2,Облачно
286,2,Облачно
287,2,Облачно
288,2,Облачно
289,4,Дождь
290,4,Дождь
291,4,Дождь
292,4,Дождь
293,4,Дождь
294,2,Облачно
295,2,Облачно
296,2,Облачно
297,2,Облачно
298,2,Облачно
299,3,Пасмурно
300,3,Пасмурно
301,3,Пасмурно
302,3,Пасмурно
303,3,Пасмурно
304,3,Пасмурно
305,3,Пасмурно
306,3,Пасмурно
307,4,Дождь
308,4,Дождь
309,4,Дождь
310,4,Дождь
311,4,Дождь
312,3,Пасмурно
313,3,Пасмурно
314,4,Дождь
315,4,Дождь
316,2,Облачно
317,2,Облачно
318,2,Облачно
319,2,Облачно
320,3,Пасмурно
321,4,Дождь
322,4,Дождь
323,4,Дождь
324,2,Облачно
325,2,Облачно
326,2,Облачно
327,2,Облачно
328,3,Пасмурно
329,3,Пасмурно
330,3,Пасмурно
331,3,Пасмурно
332,4,Дождь
333,4,Дождь
334,4,Дождь
335,1,Ясно
336,1,Ясно
337,1,Ясно
338,1,Ясно
339,1,Ясно
340,1,Ясно
341,3,Пасмурно
342,3,Пасмурно
343,3,Пасмурно
344,3,Пасмурно
345,3,Пасмурно
346,4,Дождь
347,3,Пасмурно
348,3,Пасмурно
349,3,Пасмурно
350,2,Облачно
351,2,Облачно
352,2,Облачно
353,4,Дождь
354,4,Дождь
355,2,Облачно
356,2,Облачно
357,2,Облачно
358,2,Облачно
359,2,Облачно
360,1,Ясно
361,1,Ясно
362,1,Ясно
363,1,Ясно
364,1,Ясно
365,2,Облачно
366,2,Облачно
367,2,Облачно
368,2,Облачно
369,2,Облачно
370,2,Облачно
371,3,Пасмурно
372,4,Дождь
373,3,Пасмурно
374,3,Пасмурно
375,4,Дождь
376,4,Дождь
377,4,Дождь
378,4,Дождь
379,4,Дождь
380,4,Дождь
381,4,Дождь
382,4,Дождь
383,4,Дождь
384,2,Облачно
385,2,Облачно
386,2,Облачно
387,2,Облачно
388,4,Дождь
389,1,Ясно
390,1,Ясно
391,1,Ясно
392,3,Пасмурно
393,3,Пасмурно
394,3,Пасмурно
395,3,Пасмурно
396,3,Пасмурно
397,3,Пасмурно
398,3,Пасмурно
399,3,Пасмурно
400,3,Пасмурно
401,3,Пасмурно
402,3,Пасмурно
403,2,Облачно
404,2,Облачно
405,4,Дождь
406,4,Дождь
407,4,Дождь
408,1,Ясно
409,1,Ясно
410,1,Ясно
411,2,Облачно
412,2,Облачно
413,3,Пасмурно
414,3,Пасмурно
415,3,Пасмурно
416,3,Пасмурно
417,3,Пасмурно
418,4,Дождь
419,4,Дождь
420,4,Дождь
421,4,Дождь
422,1,Ясно
423,4,Дождь
424,4,Дождь
425,4,Дождь
426,4,Дождь
427,4,Дождь
428,1,Ясно
429,1,Ясно
430,1,Ясно
431,2,Облачно
432,2,Облачно
433,3,Пасмурно
434,3,Пасмурно
435,3,Пасмурно
436,3,Пасмурно
437,3,Пасмурно
438,2,Облачно
439,3,Пасмурно
440,4,Дождь
441,4,Дождь
442,4,Дождь
443,4,Дождь
444,3,Пасмурно
445,3,Пасмурно
446,2,Облачно
447,3,Пасмурно
448,2,Облачно
449,2,Облачно
450,2,Облачно
451,2,Облачно
452,2,Облачно
453,2,Облачно
454,3,Пасмурно
455,1,Ясно
456,1,Ясно
457,1,Ясно
458,1,Ясно
459,4,Дождь
460,1,Ясно
461,2,Облачно
462,2,Облачно
463,2,Облачно
464,2,Облачно
465,2,Облачно
466,2,Облачно
467,2,Облачно
468,2,Облачно
469,4,Дождь
470,4,Дождь
471,4,Дождь
472,4,Дождь
473,3,Пасмурно
474,2,Облачно
475,2,Облачно
476,2,Облачно
477,2,Облачно
478,2,Облачно
479,4,Дождь
480,3,Пасмурно
481,3,Пасмурно
482,3,Пасмурно
483,3,Пасмурно
484,3,Пасмурно
485,3,Пасмурно
486,3,Пасмурно
487,4,Дождь
488,4,Дождь
489,4,Дождь
490,3,Пасмурно
491,3,Пасмурно
492,1,Ясно
493,1,Ясно
494,1,Ясно
495,4,Дождь
496,4,Дождь
497,4,Дождь
498,2,Облачно
499,2,Облачно
500,4,Дождь
501,1,Ясно
502,4,Дождь
503,4,Дождь
504,4,Дождь
505,4,Дождь
506,4,Дождь
507,4,Дождь
508,4,Дождь
509,4,Дождь
510,4,Дождь
511,4,Дождь
512,4,Дождь
513,2,Облачно
514,2,Облачно
515,3,Пасмурно
516,3,Пасмурно
517,3,Пасмурно
518,2,Облачно
519,3,Пасмурно
520,3,Пасмурно
521,4,Дождь
522,4,Дождь
523,3,Пасмурно
524,3,Пасмурно
525,4,Дождь
526,3,Пасмурно
527,3,Пасмурно
528,3,Пасмурно
529,3,Пасмурно
530,2,Облачно
531,3,Пасмурно
532,3,Пасмурно
533,4,Дождь
534,1,Ясно
535,2,Облачно
536,2,Облачно
537,2,Облачно
538,1,Ясно
539,2,Облачно
540,2,Облачно
541,2,Облачно
542,1,Ясно
543,1,Ясно
544,1,Ясно
545,1,Ясно
546,1,Ясно
547,1,Ясно
548,1,Ясно
549,1,Ясно
550,1,Ясно
551,1,Ясно
552,4,Дождь
553,4,Дождь
554,4,Дождь
555,1,Ясно
556,4,Дождь
557,4,Дождь
558,4,Дождь
559,3,Пасмурно
560,3,Пасмурно
561,3,Пасмурно
562,3,Пасмурно
563,3,Пасмурно
564,3,Пасмурно
565,2,Облачно
566,3,Пасмурно
567,3,Пасмурно
568,3,Пасмурно
569,3,Пасмурно
570,3,Пасмурно
571,3,Пасмурно
572,3,Пасмурно
573,3,Пасмурно
574,3,Пасмурно
575,2,Облачно
576,2,Облачно
577,2,Облачно
578,2,Облачно
579,2,Облачно
580,2,Облачно
581,2,Облачно
582,2,Облачно
583,3,Пасмурно
584,3,Пасмурно
585,3,Пасмурно
586,3,Пасмурно
587,3,Пасмурно
588,3,Пасмурно
589,3,Пасмурно
590,3,Пасмурно
591,4,Дождь
592,4,Дождь
593,4,Дождь
594,3,Пасмурно
595,3,Пасмурно
596,3,Пасмурно
597,3,Пасмурно
598,3,Пасмурно
599,3,Пасмурно
600,3,Пасмурно
601,3,Пасмурно
602,3,Пасмурно
603,3,Пасмурно
604,3,Пасмурно
605,3,Пасмурно
606,3,Пасмурно
607,3,Пасмурно
608,3,Пасмурно
609,2,Облачно
610,3,Пасмурно
611,3,Пасмурно
612,3,Пасмурно
613,3,Пасмурно
614,3,Пасмурно
615,4,Дождь
616,3,Пасмурно
617,3,Пасмурно
618,3,Пасмурно
619,3,Пасмурно
620,3,Пасмурно
621,3,Пасмурно
622,3,Пасмурно
623,3,Пасмурно
624,3,Пасмурно
625,3,Пасмурно
626,2,Облачно
627,1,Ясно
628,1,Ясно
629,3,Пасмурно
630,3,Пасмурно
631,3,Пасмурно
632,3,Пасмурно
633,3,Пасмурно
634,3,Пасмурно
635,3,Пасмурно
636,3,Пасмурно
637,1,Ясно
638,1,Ясно
639,1,Ясно
640,4,Дождь
641,4,Дождь
642,4,Дождь
643,4,Дождь
644,4,Дождь
645,1,Ясно
646,1,Ясно
647,4,Дождь
648,4,Дождь
649,2,Облачно
650,3,Пасмурно
651,3,Пасмурно
652,2,Облачно
653,3,Пасмурно
654,3,Пасмурно
655,3,Пасмурно
656,3,Пасмурно
657,3,Пасмурно
658,3,Пасмурно
659,3,Пасмурно
660,3,Пасмурно
661,3,Пасмурно
662,2,Облачно
663,2,Облачно
664,1,Ясно
665,1,Ясно
666,1,Ясно
667,1,Ясно
668,3,Пасмурно
669,3,Пасмурно
670,3,Пасмурно
671,3,Пасмурно
672,3,Пасмурно
673,3,Пасмурно
674,2,Облачно
675,3,Пасмурно
676,3,Пасмурно
677,3,Пасмурно
678,3,Пасмурно
679,3,Пасмурно
680,3,Пасмурно
681,3,Пасмурно
682,2,Облачно
683,2,Облачно
684,2,Облачно
685,3,Пасмурно
686,4,Дождь
687,4,Дождь
688,4,Дождь
689,3,Пасмурно
690,3,Пасмурно
691,2,Облачно
692,2,Облачно
693,2,Облачно
694,2,Облачно
695,3,Пасмурно
696,3,Пасмурно
697,3,Пасмурно
698,3,Пасмурно
699,2,Облачно
700,2,Облачно
701,2,Облачно
702,4,Дождь
703,4,Дождь
704,4,Дождь
705,4,Дождь
706,1,Ясно
707,3,Пасмурно
708,4,Дождь
709,3,Пасмурно
710,3,Пасмурно
711,2,Облачно
712,3,Пасмурно
713,4,Дождь
714,4,Дождь
715,4,Дождь
716,4,Дождь
717,4,Дождь
718,4,Дождь
719,4,Дождь
720,4,Дождь
721,4,Дождь
722,4,Дождь
723,4,Дождь
724,4,Дождь
725,4,Дождь
726,4,Дождь
727,4,Дождь
728,4,Дождь
729,1,Ясно
730,1,Ясно
731,1,Ясно
732,1,Ясно
733,2,Облачно
734,2,Облачно
735,2,Облачно
736,2,Облачно
737,3,Пасмурно
738,3,Пасмурно
739,3,Пасмурно
740,3,Пасмурно
741,2,Облачно
742,2,Облачно
743,2,Облачно
744,2,Облачно
745,2,Облачно
746,4,Дождь
747,4,Дождь
